Attraction name,Type,opening hour,closing hour,Entry fee,Location,description,
Bhaktapur Durbar Square,Historical Site,6:00,18:00,1500,Bhaktapur,Ancient royal palace complex with intricate architecture and sculptures,
Changu Narayan,Temple,6:00,18:00,0,Changu Narayan,Oldest Hindu temple in the Kathmandu Valley,
Nyatapola Temple,Temple,6:00,18:00,0,Taumadhi Square,Five-story pagoda temple dedicated to Siddhi Lakshmi,
Taumadhi Square,Commercial Street,0:00,24:00:00,0,Bhaktapur,Bustling square with shops and traditional architecture,
Doleshwar Mahadev Temple,Temple,6:00,18:00,0,Sipadol,Ancient temple dedicated to Lord Shiva,
Siddha Pokhari,Historical Site,6:00,18:00,0,Bhaktapur,Ancient pond with religious significance,
Thimi,Town,0:00,24:00:00,0,Bhaktapur District,Traditional Newar town known for pottery and mask-making,
Bhairavnath Temple,Temple,6:00,18:00,0,Bhaktapur Durbar Square,Temple dedicated to Bhairav, a fierce manifestation of Shiva
The Lion Gate,Museum,10:00,17:00,0,Bhaktapur Durbar Square,Ornate entrance gate with lion statues,
Taleju Temple,Temple,6:00,18:00,0,Bhaktapur Durbar Square,Temple dedicated to the royal deity Taleju Bhawani,
Maligaun hiking trail,Hiking Trail,6:00,18:00,0,Maligaun area,Scenic hiking trail with views of the surrounding landscape,
A short hike to Doleshwor Mahadev temple,Hiking Trail,6:00,18:00,0,Sipadol,Short hiking trail leading to the Doleshwor Mahadev temple,
Ranikot hike,Hiking Trail,6:00,18:00,0,Ranikot,Hiking trail with historical significance and panoramic views,
Stepping out from Nagarkot to Changunarayan,Hiking Trail,6:00,18:00,0,Nagarkot to Changu Narayan,Scenic hike between two popular destinations,
Pilot Baba Hike,Hiking Trail,6:00,18:00,0,Pilot Baba Hill,Hiking trail with religious significance,
Chuchhe Dhunga,Natural Formation,6:00,18:00,0,Near Suryabinayak,Unique rock formation with local legends,
Maha Manjushree Temple,Temple,6:00,18:00,0,Bhaktapur,Temple dedicated to Manjushri, the Bodhisattva of wisdom
Mahalaxmi temple of Thimi,Temple,6:00,18:00,0,Thimi,Temple dedicated to the goddess Mahalaxmi,
Bode Kumari Temple,Temple,6:00,18:00,0,Bode,Temple dedicated to the Kumari, the living goddess
Thimi Pottery Square,Cultural Site,8:00,18:00,0,Thimi,Center for traditional pottery making and sales,
Bisantaki Tirtha-Shileshwor,Religious Site,6:00,18:00,0,Bhaktapur,Sacred site with religious significance,
Chonga Ganesh Temple and jungle of Sallaghari,Temple,6:00,18:00,0,Sallaghari,Temple complex surrounded by forest,
Hanuman Ghat (Khorhe),Religious Site,6:00,18:00,0,Bhaktapur,Riverside religious site dedicated to Hanuman,
